Time,Source,Destination,Protocol,Length,Info
2596.298081,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=278267819 Ack=466328 Win=1236224 Len=1440 [TCP segment of a reassembled PDU]"
1729.24606,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:480:ff50:b1::b536:a092,TCP,74,61561  >  443 [ACK] Seq=4222 Ack=11748741 Win=529920 Len=0
907.565018,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=14195287 Ack=25218 Win=130048 Len=1440 [TCP segment of a reassembled PDU]
257.199936,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61028 [ACK] Seq=6171866 Ack=20578 Win=116992 Len=1440 [TCP segment of a reassembled PDU]
1848.173839,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=158340967 Ack=262592 Win=724224 Len=1440 [TCP segment of a reassembled PDU]
2654.557067,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:3f0:4005:6::9,TCP,74,62007  >  443 [ACK] Seq=5136 Ack=2041149 Win=131072 Len=0
38.059925,192.168.18.1,192.168.18.46,TCP,54,"53  >  58818 [FIN, ACK] Seq=632 Ack=31 Win=14600 Len=0"
16.206289,2800:480:ff50:b1::b536:a098,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  60719 [ACK] Seq=1501836 Ack=2147 Win=64128 Len=1440 [TCP segment of a reassembled PDU]
1177.871816,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=57244398 Ack=94602 Win=307200 Len=1440 [TCP segment of a reassembled PDU]"
1787.872813,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=149882765 Ack=249166 Win=692736 Len=1440 [TCP segment of a reassembled PDU]"
1549.424576,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:480:ff50:503::e,TCP,74,61093  >  443 [ACK] Seq=188667 Ack=114177871 Win=264960 Len=0
30.696779,20.189.173.13,192.168.20.26,TCP,60,443  >  60703 [ACK] Seq=11741 Ack=115638 Win=525568 Len=0
1012.738031,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:480:ff50:503::e,TCP,74,61093  >  443 [ACK] Seq=54296 Ack=31157925 Win=264960 Len=0
124.088604,192.168.20.26,190.157.8.101,TCP,54,"60831  >  53 [FIN, ACK] Seq=37 Ack=117 Win=131072 Len=0"
2309.598488,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:480:ff50:503::e,TCP,74,61093  >  443 [ACK] Seq=378978 Ack=226793275 Win=529920 Len=0
1616.422923,2800:3f0:4005:40c::2001,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,86,"443  >  61268 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1440 SACK_PERM WS=128"
