Time,Source,Destination,Protocol,Length,Info
56.173828,81.131.67.131,24.11.146.28,UDP,54,41730  >  17342 Len=12
103.819738,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,53620  >  3702 Len=624
3.965591,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
56.173828,81.131.67.131,85.96.110.115,UDP,61,41730  >  6346 Len=19
19.504883,81.131.67.131,83.112.25.172,UDP,61,41730  >  6346 Len=19
43.209961,81.131.67.131,218.72.89.80,UDP,61,41730  >  6346 Len=19
42.078125,81.131.67.131,83.132.177.64,UDP,61,41730  >  6346 Len=19
0.366899,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
8.314453,81.131.67.131,62.193.101.150,UDP,61,41730  >  6346 Len=19
147.549921,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,55473  >  3702 Len=624
69.690423,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,52892  >  3702 Len=624
52.985352,81.131.67.131,213.96.20.254,UDP,61,41730  >  6347 Len=19
46.329102,81.131.67.131,219.137.42.1,UDP,61,41730  >  6346 Len=19
37.720703,81.131.67.131,81.178.122.194,UDP,61,41730  >  18035 Len=19
44.779297,81.131.67.131,213.213.216.6,UDP,50,41730  >  6346 Len=8
7.329102,81.131.67.131,82.192.36.209,UDP,61,41730  >  6346 Len=19
16.157227,81.131.67.131,84.98.242.226,UDP,50,41730  >  62573 Len=8
8.469587,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
22.704102,81.131.67.131,38.115.4.204,UDP,54,41730  >  21284 Len=12
11.783203,81.131.67.131,84.156.173.210,UDP,61,41730  >  6346 Len=19
42.15625,81.131.67.131,83.112.25.172,UDP,61,41730  >  6346 Len=19
8.111098,192.168.2.6,224.0.0.107,UDP,96,42319  >  42319 Len=54
95.624345,192.168.137.147,239.255.255.250,UDP,666,55445  >  3702 Len=624
3.146241,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
1.943088,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
11.629785,193.63.53.155,224.1.2.3,UDP,66,1976  >  6003 Len=24
119.145612,192.168.137.147,239.255.255.250,UDP,666,53623  >  3702 Len=624
73.728905,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,58319  >  3702 Len=624
23.876953,81.131.67.131,212.129.182.184,UDP,61,41730  >  6346 Len=19
477.72135,192.168.137.1,255.255.255.255,UDP,56,60346  >  3289 Len=14
27.033203,81.131.67.131,83.197.36.179,UDP,550,41730  >  6346 Len=508
16.125,81.131.67.131,81.247.65.177,UDP,61,41730  >  6346 Len=19
7.298732,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
5.631632,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
99.831877,192.168.137.147,239.255.255.250,UDP,666,53615  >  3702 Len=624
55.50586,81.131.67.131,24.11.146.28,UDP,50,41730  >  17342 Len=8
10.578125,84.228.12.31,81.131.67.131,UDP,50,6346  >  41730 Len=8
24.47168,81.131.67.131,69.4.150.232,UDP,61,41730  >  6346 Len=19
16.422852,81.131.67.131,62.203.15.181,UDP,61,41730  >  6346 Len=19
23.861328,81.131.67.131,61.26.65.145,UDP,429,41730  >  6346 Len=387
1727.144877,192.168.137.1,255.255.255.255,UDP,56,56171  >  3289 Len=14
3.484375,81.131.67.131,213.96.20.254,UDP,61,41730  >  6347 Len=19
38.736328,81.131.67.131,82.42.241.166,UDP,550,41730  >  31391 Len=508
6.173635,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
47.391602,81.131.67.131,201.137.214.74,UDP,61,41730  >  6346 Len=19
8.140625,66.50.6.35,81.131.67.131,UDP,61,6346  >  41730 Len=19
8.78125,81.131.67.131,210.23.168.206,UDP,550,41730  >  4014 Len=508
16.551743,193.63.53.155,224.1.2.3,UDP,66,1976  >  6003 Len=24
58.423828,81.131.67.131,24.170.76.236,UDP,414,41730  >  37517 Len=372
56.236328,81.131.67.131,218.72.89.80,UDP,61,41730  >  6346 Len=19
116.832372,192.168.137.147,239.255.255.250,UDP,666,53621  >  3702 Len=624
5.0625,81.131.67.131,62.131.99.79,UDP,61,41730  >  6346 Len=19
49.528321,81.131.67.131,83.112.25.172,UDP,61,41730  >  6346 Len=19
17.516602,211.26.30.182,81.131.67.131,UDP,61,1807  >  41730 Len=19
6.179688,81.131.67.131,83.53.165.235,UDP,54,41730  >  6346 Len=12
1.626682,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
52.875977,81.131.67.131,62.205.109.173,UDP,61,41730  >  6346 Len=19
3.602364,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
9.455078,81.131.67.131,24.11.146.28,UDP,54,41730  >  17342 Len=12
68.590641,192.168.137.147,239.255.255.250,UDP,666,52891  >  3702 Len=624
31.402344,81.131.67.131,80.125.99.71,UDP,61,41730  >  6346 Len=19
44.979724,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,60947  >  3702 Len=624
46.422852,81.131.67.131,62.131.99.79,UDP,61,41730  >  6346 Len=19
57.251953,81.131.67.131,195.130.143.128,UDP,61,41730  >  6346 Len=19
45.393555,212.195.108.125,81.131.67.131,UDP,50,6346  >  41730 Len=8
6.756649,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
39.8125,81.131.67.131,201.137.214.74,UDP,61,41730  >  6346 Len=19
73.948371,192.168.137.147,239.255.255.250,UDP,666,58318  >  3702 Len=624
15.111328,81.131.67.131,84.56.231.176,UDP,61,41730  >  6346 Len=19
163.816478,192.168.137.1,255.255.255.255,UDP,56,50859  >  3289 Len=14
25.908203,81.131.67.131,62.34.123.244,UDP,61,41730  >  6346 Len=19
508.12873,192.168.137.1,255.255.255.255,UDP,56,60351  >  3289 Len=14
35.579102,81.131.67.131,68.21.34.173,UDP,61,41730  >  6346 Len=19
14.720703,81.131.67.131,24.11.146.28,UDP,50,41730  >  17342 Len=8
17.099615,193.63.53.155,224.1.2.3,UDP,66,1976  >  6003 Len=24
965.295227,192.168.137.1,255.255.255.255,UDP,56,61781  >  3289 Len=14
52.813477,81.131.67.131,38.115.4.204,UDP,54,41730  >  21284 Len=12
89.890654,192.168.137.147,239.255.255.250,UDP,666,55445  >  3702 Len=624
73.948666,192.168.137.147,239.255.255.250,UDP,666,58318  >  3702 Len=624
10.478025,192.168.2.6,224.0.0.107,UDP,96,42319  >  42319 Len=54
27.001953,81.131.67.131,84.27.15.106,UDP,61,41730  >  6346 Len=19
7.25568,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
23.970703,81.131.67.131,86.193.209.223,UDP,61,41730  >  32186 Len=19
5.554688,81.131.67.131,84.149.148.25,UDP,61,41730  >  6346 Len=19
2.073348,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
42.140625,81.131.67.131,85.96.110.115,UDP,61,41730  >  6346 Len=19
69.438826,192.168.137.147,239.255.255.250,UDP,666,52891  >  3702 Len=624
21.094727,81.131.67.131,82.216.238.111,UDP,61,41730  >  28046 Len=19
4.100372,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
37.798828,81.131.67.131,65.43.223.20,UDP,61,41730  >  6346 Len=19
