"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.2","192.168.0.1","TCP","74","1254  >  23 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1444389 TSecr=0 WS=1"
"2","0.001690","192.168.0.1","192.168.0.2","TCP","74","23  >  1254 [SYN, ACK] Seq=0 Ack=1 Win=17376 Len=0 MSS=1448 WS=1 TSval=346979 TSecr=1444389"
"3","0.001741","192.168.0.2","192.168.0.1","TCP","66","1254  >  23 [ACK] Seq=1 Ack=1 Win=32120 Len=0 TSval=1444389 TSecr=346979"
"4","0.013173","192.168.0.2","192.168.0.1","TELNET","93","Telnet Data ..."
"5","0.150283","192.168.0.1","192.168.0.2","TELNET","69","Telnet Data ..."
"6","0.150351","192.168.0.2","192.168.0.1","TCP","66","1254  >  23 [ACK] Seq=28 Ack=4 Win=32120 Len=0 TSval=1444404 TSecr=346980"
"7","0.150528","192.168.0.2","192.168.0.1","TELNET","69","Telnet Data ..."
"8","0.151908","192.168.0.1","192.168.0.2","TCP","66","23  >  1254 [ACK] Seq=4 Ack=31 Win=17376 Len=0 TSval=346980 TSecr=1444404"
"9","0.153602","192.168.0.1","192.168.0.2","TELNET","91","Telnet Data ..."
"10","0.153816","192.168.0.2","192.168.0.1","TELNET","130","Telnet Data ..."
"11","0.154904","192.168.0.1","192.168.0.2","TCP","66","23  >  1254 [ACK] Seq=29 Ack=95 Win=17312 Len=0 TSval=346980 TSecr=1444405"
"12","0.155418","192.168.0.1","192.168.0.2","TELNET","84","Telnet Data ..."
"13","0.155496","192.168.0.2","192.168.0.1","TELNET","75","Telnet Data ..."
"14","0.156474","192.168.0.1","192.168.0.2","TCP","66","23  >  1254 [ACK] Seq=47 Ack=104 Win=17367 Len=0 TSval=346980 TSecr=1444405"
"15","0.158758","192.168.0.1","192.168.0.2","TELNET","90","Telnet Data ..."
"16","0.159498","192.168.0.2","192.168.0.1","TELNET","151","Telnet Data ..."
"17","0.160654","192.168.0.1","192.168.0.2","TCP","66","23  >  1254 [ACK] Seq=71 Ack=189 Win=17291 Len=0 TSval=346980 TSecr=1444405"
"18","0.181170","192.168.0.1","192.168.0.2","TELNET","69","Telnet Data ..."
"19","0.181250","192.168.0.2","192.168.0.1","TELNET","69","Telnet Data ..."
"20","0.182445","192.168.0.1","192.168.0.2","TCP","66","23  >  1254 [ACK] Seq=74 Ack=192 Win=17373 Len=0 TSval=346980 TSecr=1444407"
"21","0.196092","192.168.0.1","192.168.0.2","TELNET","78","Telnet Data ..."
"22","0.196205","192.168.0.2","192.168.0.1","TELNET","72","Telnet Data ..."
"23","0.197390","192.168.0.1","192.168.0.2","TCP","66","23  >  1254 [ACK] Seq=86 Ack=198 Win=17370 Len=0 TSval=346980 TSecr=1444409"
"24","0.198246","192.168.0.1","192.168.0.2","TELNET","81","Telnet Data ..."
"25","0.213039","192.168.0.2","192.168.0.1","TCP","66","1254  >  23 [ACK] Seq=198 Ack=101 Win=32120 Len=0 TSval=1444411 TSecr=346980"
"26","0.214354","192.168.0.1","192.168.0.2","TELNET","98","Telnet Data ..."
"27","0.233063","192.168.0.2","192.168.0.1","TCP","66","1254  >  23 [ACK] Seq=198 Ack=133 Win=32120 Len=0 TSval=1444413 TSecr=346980"
"28","1.308007","192.168.0.1","192.168.0.2","TELNET","73","Telnet Data ..."
