"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::a00:27ff:fed4:10bb","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"2","7.975966","fe80::a00:27ff:fefe:8f95","ff02::1:2","DHCPv6","114","Solicit XID: 0x100874 CID: 000100011c39cf88080027fe8f95 "
"3","7.977200","fe80::a00:27ff:fed4:10bb","ff02::1:fffe:8f95","ICMPv6","86","Neighbor Solicitation for fe80::a00:27ff:fefe:8f95 from 08:00:27:d4:10:bb"
"4","7.977298","fe80::a00:27ff:fefe:8f95","fe80::a00:27ff:fed4:10bb","ICMPv6","86","Neighbor Advertisement fe80::a00:27ff:fefe:8f95 (sol, ovr) is at 08:00:27:fe:8f:95"
"5","7.977653","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","DHCPv6","147","Advertise XID: 0x100874 CID: 000100011c39cf88080027fe8f95 "
"6","8.187901","fe80::a00:27ff:fed4:10bb","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"7","9.038070","fe80::a00:27ff:fefe:8f95","ff02::1:2","DHCPv6","161","Request XID: 0x49174e CID: 000100011c39cf88080027fe8f95 "
"8","9.039435","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","DHCPv6","147","Reply XID: 0x49174e CID: 000100011c39cf88080027fe8f95 "
"9","12.984409","fe80::a00:27ff:fefe:8f95","fe80::a00:27ff:fed4:10bb","ICMPv6","86","Neighbor Solicitation for fe80::a00:27ff:fed4:10bb from 08:00:27:fe:8f:95"
"10","12.985085","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","ICMPv6","78","Neighbor Advertisement fe80::a00:27ff:fed4:10bb (sol)"
"11","13.092889","fe80::a00:27ff:fefe:8f95","ff02::1:2","DHCPv6","161","Release XID: 0xc789b0 CID: 000100011c39cf88080027fe8f95 "
"12","13.093578","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","DHCPv6","125","Reply XID: 0xc789b0 CID: 000100011c39cf88080027fe8f95 "
