"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","ExtremeN_ff:ae:80","Broadcast","ARP","60","Who has 10.65.199.31? Tell 10.65.199.1"
"2","4.024256","10.65.199.21","10.65.200.11","TCP","74","756  >  111 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=32875000 TSecr=0 WS=1"
"3","4.024370","10.65.200.11","10.65.199.21","TCP","74","111  >  756 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=16 TSval=245432548 TSecr=32875000"
"4","4.024393","10.65.199.21","10.65.200.11","TCP","66","756  >  111 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=32875000 TSecr=245432548"
"5","4.024452","10.65.199.21","10.65.200.11","Portmap","110","V2 DUMP Call (Reply In 7)[Packet size limited during capture]"
"6","4.024500","10.65.200.11","10.65.199.21","TCP","66","[TCP Window Update] 111  >  756 [ACK] Seq=1 Ack=1 Win=525616 Len=0 TSval=245432548 TSecr=32875000"
"7","4.024745","10.65.200.11","10.65.199.21","Portmap","338","V2 DUMP Reply (Call In 5)"
"8","4.024757","10.65.199.21","10.65.200.11","TCP","66","756  >  111 [ACK] Seq=45 Ack=273 Win=6432 Len=0 TSval=32875000 TSecr=245432548"
"9","4.024786","10.65.199.21","10.65.200.11","TCP","66","756  >  111 [FIN, ACK] Seq=45 Ack=273 Win=6432 Len=0 TSval=32875000 TSecr=245432548"
"10","4.024817","10.65.199.21","10.65.200.11","TCP","74","757  >  1023 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=32875000 TSecr=0 WS=1"
"11","4.024864","10.65.200.11","10.65.199.21","TCP","66","111  >  756 [ACK] Seq=273 Ack=46 Win=525616 Len=0 TSval=245432549 TSecr=32875000"
"12","4.024898","10.65.200.11","10.65.199.21","TCP","74","1023  >  757 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=16 TSval=245432549 TSecr=32875000"
"13","4.024907","10.65.199.21","10.65.200.11","TCP","66","757  >  1023 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=32875000 TSecr=245432549"
"14","4.024923","10.65.200.11","10.65.199.21","TCP","66","111  >  756 [FIN, ACK] Seq=273 Ack=46 Win=525616 Len=0 TSval=245432549 TSecr=32875000"
"15","4.024938","10.65.199.21","10.65.200.11","TCP","66","756  >  111 [ACK] Seq=46 Ack=274 Win=6432 Len=0 TSval=32875000 TSecr=245432549"
"16","4.024964","10.65.199.21","10.65.200.11","MOUNT","190","V3 MNT Call (Reply In 18)[Packet size limited during capture]"
"17","4.024993","10.65.200.11","10.65.199.21","TCP","66","[TCP Window Update] 1023  >  757 [ACK] Seq=1 Ack=1 Win=525616 Len=0 TSval=245432549 TSecr=32875000"
"18","4.025239","10.65.200.11","10.65.199.21","MOUNT","158","V3 MNT Reply (Call In 16)"
"19","4.025248","10.65.199.21","10.65.200.11","TCP","66","757  >  1023 [ACK] Seq=125 Ack=93 Win=5840 Len=0 TSval=32875000 TSecr=245432549"
"20","4.025313","10.65.199.21","10.65.200.11","Portmap","98","V2 GETPORT Call (Reply In 21) NFS(100003) V:3 TCP[Packet size limited during capture]"
"21","4.025513","10.65.200.11","10.65.199.21","Portmap","70","V2 GETPORT Reply (Call In 20) Port:2049"
"22","4.025549","10.65.199.21","10.65.200.11","TCP","66","757  >  1023 [FIN, ACK] Seq=125 Ack=93 Win=5840 Len=0 TSval=32875000 TSecr=245432549"
"23","4.025627","10.65.200.11","10.65.199.21","TCP","66","1023  >  757 [ACK] Seq=93 Ack=126 Win=525616 Len=0 TSval=245432549 TSecr=32875000"
"24","4.025647","10.65.199.21","10.65.200.11","TCP","74","799  >  2049 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=32875000 TSecr=0 WS=1"
