"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_3c:78:00","Broadcast","ARP","42","Who has 128.119.245.12? Tell 131.212.31.167"
"2","0.000056","D-Link_40:df:1d","Cisco_3c:78:00","ARP","42","128.119.245.12 is at 00:0d:88:40:df:1d"
"3","0.000061","131.212.31.167","128.119.245.12","TCP","62","2096  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1260 SACK_PERM"
"4","0.115091","128.119.245.12","131.212.31.167","TCP","62","80  >  2096 [SYN, ACK] Seq=0 Ack=1 Win=1460 Len=0 MSS=1460 SACK_PERM"
"5","0.115154","131.212.31.167","128.119.245.12","TCP","54","2096  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6","0.116236","131.212.31.167","128.119.245.12","TCP","678","2096  >  80 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=624 [TCP segment of a reassembled PDU]"
"7","0.116807","131.212.31.167","128.119.245.12","TCP","890","[TCP Window Full] 2096  >  80 [ACK] Seq=625 Ack=1 Win=65535 Len=836 [TCP segment of a reassembled PDU]"
"8","0.238026","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=625 Win=6864 Len=0"
"9","0.238096","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=1461 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"10","0.247841","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=1461 Win=8360 Len=0"
"11","0.247898","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=2721 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"12","0.248094","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=3981 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"13","0.359768","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=2721 Win=10080 Len=0"
"14","0.359835","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=5241 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"15","0.360057","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=6501 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"16","0.399673","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=3981 Win=12600 Len=0"
"17","0.399735","131.212.31.167","128.119.245.12","TCP","1110","2096  >  80 [PSH, ACK] Seq=7761 Ack=1 Win=65535 Len=1056 [TCP segment of a reassembled PDU]"
"18","0.442771","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=5241 Win=15120 Len=0"
"19","0.482913","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=6501 Win=17640 Len=0"
"20","0.529290","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=7761 Win=20160 Len=0"
"21","0.561988","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=8817 Win=22680 Len=0"
"22","0.562133","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=8817 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"23","0.562342","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=10077 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"24","0.562504","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=11337 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"25","0.562663","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=12597 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"26","0.562898","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=13857 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"27","0.563059","131.212.31.167","128.119.245.12","TCP","1314","2096  >  80 [ACK] Seq=15117 Ack=1 Win=65535 Len=1260 [TCP segment of a reassembled PDU]"
"28","0.563219","131.212.31.167","128.119.245.12","TCP","686","2096  >  80 [PSH, ACK] Seq=16377 Ack=1 Win=65535 Len=632 [TCP segment of a reassembled PDU]"
"29","0.686409","128.119.245.12","131.212.31.167","TCP","54","80  >  2096 [ACK] Seq=1 Ack=10077 Win=25200 Len=0"
