"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.60.0.189","224.0.0.1","IGMPv2","60","Membership Query, general"
"2","0.261029","10.60.0.20","224.0.1.60","IGMPv2","60","Membership Report group 224.0.1.60"
"3","0.500544","10.60.0.5","224.0.0.2","IGMPv2","60","Membership Report group 224.0.0.2"
"4","1.525982","10.60.2.7","239.255.255.250","IGMPv2","60","Membership Report group 239.255.255.250"
"5","1.588356","10.60.50.58","224.0.0.9","IGMPv2","60","Membership Report group 224.0.0.9"
"6","1.926704","10.60.5.102","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"7","1.926714","10.60.5.102","239.255.255.253","IGMPv2","60","Membership Report group 239.255.255.253"
"8","3.011911","192.10.11.10","224.2.137.214","IGMPv2","60","Membership Report group 224.2.137.214"
"9","3.012097","10.60.0.189","224.0.1.40","IGMPv2","60","Membership Report group 224.0.1.40"
"10","4.862880","10.60.3.36","224.0.1.24","IGMPv2","60","Membership Report group 224.0.1.24"
"11","4.887409","10.60.0.12","239.255.255.254","IGMPv2","60","Membership Report group 239.255.255.254"
"12","5.443393","10.60.4.5","224.0.0.252","IGMPv2","60","Membership Report group 224.0.0.252"
"13","7.909521","10.60.0.132","224.0.1.60","IGMPv1","60","Membership Report"
"14","22.091076","192.10.11.10","224.0.0.25","RGMP","60","Hello"
"15","52.212992","192.10.11.10","224.0.0.25","RGMP","60","Hello"
"16","60.261157","10.60.0.189","224.0.0.1","IGMPv2","60","Membership Query, general"
"17","60.864010","10.60.3.36","224.0.1.24","IGMPv2","60","Membership Report group 224.0.1.24"
"18","61.001710","10.60.0.5","224.0.0.2","IGMPv2","60","Membership Report group 224.0.0.2"
"19","61.063955","10.60.0.212","239.255.255.250","IGMPv2","60","Membership Report group 239.255.255.250"
"20","61.210864","10.60.0.132","224.0.1.60","IGMPv1","60","Membership Report"
"21","61.264042","10.60.0.189","224.2.137.214","IGMPv2","60","Membership Report group 224.2.137.214"
"22","61.784766","10.60.5.103","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"23","64.089909","10.60.50.58","224.0.0.9","IGMPv2","60","Membership Report group 224.0.0.9"
"24","64.976283","10.60.0.12","239.255.255.254","IGMPv2","60","Membership Report group 239.255.255.254"
"25","65.927656","10.60.5.102","239.255.255.253","IGMPv2","60","Membership Report group 239.255.255.253"
