"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::a00:27ff:fefe:8f95","ff02::1:2","DHCPv6","143","Solicit XID: 0x588977 CID: 000100011c38262d080027fe8f95 "
"2","0.001454","fe80::a00:27ff:fed4:10bb","ff02::1:fffe:8f95","ICMPv6","86","Neighbor Solicitation for fe80::a00:27ff:fefe:8f95 from 08:00:27:d4:10:bb"
"3","0.001550","fe80::a00:27ff:fefe:8f95","fe80::a00:27ff:fed4:10bb","ICMPv6","86","Neighbor Advertisement fe80::a00:27ff:fefe:8f95 (sol, ovr) is at 08:00:27:fe:8f:95"
"4","0.002680","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","DHCPv6","147","Advertise XID: 0x588977 CID: 000100011c38262d080027fe8f95 "
"5","1.062588","fe80::a00:27ff:fefe:8f95","ff02::1:2","DHCPv6","161","Request XID: 0x571958 CID: 000100011c38262d080027fe8f95 "
"6","1.064006","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","DHCPv6","147","Reply XID: 0x571958 CID: 000100011c38262d080027fe8f95 "
"7","4.269427","fe80::a00:27ff:fefe:8f95","ff02::1:2","DHCPv6","161","Release XID: 0x8ddc95 CID: 000100011c38262d080027fe8f95 "
"8","4.270486","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","DHCPv6","125","Reply XID: 0x8ddc95 CID: 000100011c38262d080027fe8f95 "
"9","5.005109","fe80::a00:27ff:fefe:8f95","fe80::a00:27ff:fed4:10bb","ICMPv6","86","Neighbor Solicitation for fe80::a00:27ff:fed4:10bb from 08:00:27:fe:8f:95"
"10","5.005670","fe80::a00:27ff:fed4:10bb","fe80::a00:27ff:fefe:8f95","ICMPv6","78","Neighbor Advertisement fe80::a00:27ff:fed4:10bb (sol)"
