"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"2","0.162285","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"3","0.169579","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"4","0.175825","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"5","0.182594","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"6","0.183048","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"7","0.190456","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"8","0.203562","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"9","0.211428","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"10","0.219294","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"11","2.001792","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"12","2.161888","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"13","2.169692","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"14","2.174928","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"15","2.183474","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"16","2.184413","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"17","2.192203","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"18","2.203835","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"19","2.211636","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"20","2.220065","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"21","4.000367","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"22","4.162111","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"23","4.169892","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"24","4.175132","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"25","4.182994","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"26","4.183453","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"27","4.192639","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"28","4.206978","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"29","4.211834","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"30","4.219699","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"31","6.000565","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"32","6.162274","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"33","6.171502","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"34","6.177090","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"35","6.184656","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"36","6.185464","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"37","6.192854","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"38","6.206857","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"39","6.212036","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"40","6.219896","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"41","8.002666","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"42","8.162484","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"43","8.170279","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"44","8.175524","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"45","8.183385","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"46","8.183839","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"47","8.191252","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"48","8.207810","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"49","8.213252","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"50","8.221456","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"51","10.000952","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"52","10.162690","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"53","10.170477","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"54","10.175729","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"55","10.183586","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"56","10.184045","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"57","10.191453","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"58","10.207177","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"59","10.214366","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"60","10.220334","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"61","12.001143","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"62","12.162890","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"63","12.170677","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"64","12.175917","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"65","12.183783","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"66","12.184238","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
"67","12.191646","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:86  Cost = 0  Port = 0x8026"
"68","12.208055","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:87  Cost = 0  Port = 0x8026"
"69","12.212881","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:88  Cost = 0  Port = 0x8026"
"70","12.220534","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:89  Cost = 0  Port = 0x8026"
"71","14.001347","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:80  Cost = 0  Port = 0x8026"
"72","14.163100","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:81  Cost = 0  Port = 0x8026"
"73","14.170873","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:82  Cost = 0  Port = 0x8026"
"74","14.176307","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:83  Cost = 0  Port = 0x8026"
"75","14.183981","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:84  Cost = 0  Port = 0x8026"
"76","14.184435","Cisco_2c:b8:98","Spanning-tree-(for-bridges)_00","STP","90","Conf. Root = 32768/0/00:02:fd:2c:b8:85  Cost = 0  Port = 0x8026"
