"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.168","10.160.67.244","SMB2","254","Negotiate Protocol Request"
"2","0.082783","10.160.67.244","192.168.100.168","SMB2","378","Negotiate Protocol Response"
"3","0.101824","192.168.100.168","10.160.67.244","SMB2","190","Session Setup Request, NTLMSSP_NEGOTIATE"
"4","0.169447","10.160.67.244","192.168.100.168","SMB2","304","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"5","0.188639","192.168.100.168","10.160.67.244","SMB2","410","Session Setup Request, NTLMSSP_AUTH, User: \\administrator"
"6","0.213992","10.160.67.244","192.168.100.168","SMB2","142","Session Setup Response"
"7","0.247710","192.168.100.168","10.160.67.244","SMB2","226","Encrypted SMB3"
"8","0.272808","10.160.67.244","192.168.100.168","SMB2","202","Encrypted SMB3"
"9","0.280328","192.168.100.168","10.160.67.244","SMB2","226","Encrypted SMB3"
"10","0.306646","10.160.67.244","192.168.100.168","SMB2","202","Encrypted SMB3"
"11","0.314393","192.168.100.168","10.160.67.244","SMB2","330","Encrypted SMB3"
"12","0.339807","10.160.67.244","192.168.100.168","SMB2","354","Encrypted SMB3"
"13","0.345583","192.168.100.168","10.160.67.244","SMB2","243","Encrypted SMB3"
"14","0.370367","10.160.67.244","192.168.100.168","SMB2","195","Encrypted SMB3"
"15","0.377215","192.168.100.168","10.160.67.244","SMB2","227","Encrypted SMB3"
"16","0.402227","10.160.67.244","192.168.100.168","SMB2","214","Encrypted SMB3"
"17","0.407794","192.168.100.168","10.160.67.244","SMB2","227","Encrypted SMB3"
"18","0.432458","10.160.67.244","192.168.100.168","SMB2","202","Encrypted SMB3"
"19","0.438156","192.168.100.168","10.160.67.244","SMB2","227","Encrypted SMB3"
"20","0.463326","10.160.67.244","192.168.100.168","SMB2","212","Encrypted SMB3"
"21","0.467918","192.168.100.168","10.160.67.244","SMB2","227","Encrypted SMB3"
"22","0.493070","10.160.67.244","192.168.100.168","SMB2","222","Encrypted SMB3"
"23","0.498766","192.168.100.168","10.160.67.244","SMB2","274","Encrypted SMB3"
"24","0.526368","10.160.67.244","192.168.100.168","SMB2","195","Encrypted SMB3"
"25","0.532619","192.168.100.168","10.160.67.244","SMB2","442","Encrypted SMB3"
"26","0.558157","10.160.67.244","192.168.100.168","SMB2","578","Encrypted SMB3"
"27","0.572046","192.168.100.168","10.160.67.244","SMB2","250","Encrypted SMB3"
"28","0.597186","10.160.67.244","192.168.100.168","SMB2","274","Encrypted SMB3"
"29","0.598603","192.168.100.168","10.160.67.244","SMB2","220","Encrypted SMB3"
"30","0.622710","10.160.67.244","192.168.100.168","SMB2","556","Encrypted SMB3"
"31","0.636601","192.168.100.168","10.160.67.244","SMB2","220","Encrypted SMB3"
"32","0.662138","10.160.67.244","192.168.100.168","SMB2","195","Encrypted SMB3"
"33","0.667650","192.168.100.168","10.160.67.244","SMB2","210","Encrypted SMB3"
"34","0.692819","10.160.67.244","192.168.100.168","SMB2","246","Encrypted SMB3"
