"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","193.63.53.155","224.1.2.3","UDP","70","1976  >  6003 Len=28"
"2","0.005745","193.63.53.155","224.1.2.3","UDP","97","1976  >  6003 Len=55"
"3","0.006174","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"4","0.051454","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"5","0.096452","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"6","0.140330","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"7","0.181347","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"8","0.230174","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"9","0.275120","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"10","0.317088","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"11","0.366899","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"12","0.410836","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"13","0.456745","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"14","0.501662","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"15","0.544634","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"16","0.584678","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"17","0.630682","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"18","0.678417","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"19","0.725307","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"20","0.770216","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"21","0.817095","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"22","0.860091","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"23","0.904016","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"24","0.945536","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"25","0.993880","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"26","1.038353","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"27","1.082719","193.63.53.155","224.1.2.3","UDP","70","1976  >  6003 Len=28"
"28","1.083150","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"29","1.132538","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"30","1.176475","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"31","1.222379","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"32","1.267370","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"33","1.310275","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"34","1.350315","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"35","1.397182","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"36","1.446055","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"37","1.490939","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"38","1.535876","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"39","1.582741","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"40","1.626682","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"41","1.670656","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"42","1.711652","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"43","1.759563","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"44","1.803443","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
"45","1.848363","193.63.53.155","224.1.2.3","UDP","1482","1976  >  6003 Len=1440"
