"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","FTP","52","Request: TYPE I"
"2","0.000057","127.0.0.1","127.0.0.1","TCP","44","21  >  63610 [ACK] Seq=1 Ack=9 Win=8435 Len=0"
"3","0.000298","127.0.0.1","127.0.0.1","FTP","70","Response: 200 Type set to: Binary."
"4","0.000331","127.0.0.1","127.0.0.1","TCP","44","63610  >  21 [ACK] Seq=9 Ack=27 Win=1240 Len=0"
"5","0.000407","127.0.0.1","127.0.0.1","FTP","50","Request: PASV"
"6","0.000442","127.0.0.1","127.0.0.1","TCP","44","21  >  63610 [ACK] Seq=27 Ack=15 Win=8435 Len=0"
"7","0.000823","127.0.0.1","127.0.0.1","FTP","92","Response: 227 Entering passive mode (127,0,0,1,202,191)."
"8","0.000851","127.0.0.1","127.0.0.1","TCP","44","63610  >  21 [ACK] Seq=15 Ack=75 Win=1240 Len=0"
"9","0.001186","127.0.0.1","127.0.0.1","TCP","56","51904  >  51903 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"10","0.001274","127.0.0.1","127.0.0.1","TCP","56","51903  >  51904 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"11","0.001346","127.0.0.1","127.0.0.1","TCP","44","51904  >  51903 [ACK] Seq=1 Ack=1 Win=2161152 Len=0"
"12","0.001471","127.0.0.1","127.0.0.1","FTP","65","Request: STOR slrpjxrlny.txt"
"13","0.001521","127.0.0.1","127.0.0.1","TCP","44","21  >  63610 [ACK] Seq=75 Ack=36 Win=8435 Len=0"
"14","0.003576","127.0.0.1","127.0.0.1","FTP","98","Response: 125 Data connection already open. Transfer starting."
"15","0.003622","127.0.0.1","127.0.0.1","TCP","44","63610  >  21 [ACK] Seq=36 Ack=129 Win=1240 Len=0"
"16","0.003974","127.0.0.1","127.0.0.1","TCP","44","51904  >  51903 [FIN, ACK] Seq=1 Ack=1 Win=2161152 Len=0"
"17","0.004008","127.0.0.1","127.0.0.1","TCP","44","51903  >  51904 [ACK] Seq=1 Ack=2 Win=2161152 Len=0"
"18","0.004163","127.0.0.1","127.0.0.1","TCP","44","51903  >  51904 [FIN, ACK] Seq=1 Ack=2 Win=2161152 Len=0"
"19","0.004199","127.0.0.1","127.0.0.1","TCP","44","51904  >  51903 [ACK] Seq=2 Ack=2 Win=2161152 Len=0"
"20","0.004344","127.0.0.1","127.0.0.1","FTP","68","Response: 226 Transfer complete."
"21","0.004450","127.0.0.1","127.0.0.1","TCP","44","63610  >  21 [ACK] Seq=36 Ack=153 Win=1240 Len=0"
"22","2.006450","127.0.0.1","127.0.0.1","FTP","52","Request: TYPE I"
"23","2.006492","127.0.0.1","127.0.0.1","TCP","44","21  >  63610 [ACK] Seq=153 Ack=44 Win=8435 Len=0"
"24","2.006630","127.0.0.1","127.0.0.1","FTP","70","Response: 200 Type set to: Binary."
"25","2.006661","127.0.0.1","127.0.0.1","TCP","44","63610  >  21 [ACK] Seq=44 Ack=179 Win=1240 Len=0"
"26","2.006729","127.0.0.1","127.0.0.1","FTP","50","Request: PASV"
